Milwaukee Bucks,118.1,49.7,26,7.5,5.9,0.732,16.27,27.9
Golden State Warriors,117.7,46.2,29.4,7.6,6.4,0.695,17.08,29.3
New Orleans Pelicans,115.4,47.3,27,7.4,5.4,0.402,16.23,26.5
Philadelphia 76ers,115.2,47.8,26.9,7.4,5.3,0.622,14.32,27.1
Los Angeles Clippers,115.1,45.5,24,6.8,4.7,0.451,15.89,26.3
Portland Trail Blazers,114.7,48,23,6.7,5,0.646,16.18,26.8
Oklahoma City Thunder,114.5,48.1,23.4,9.3,5.2,0.598,14.025,26.4
Toronto Raptors,114.4,45.2,25.4,8.3,5.3,0.707,16.53,28.2
Sacramento Kings,114.2,45.4,25.4,8.3,4.4,0.476,14.75,25.3
Washington Wizards,114,42.4,26.3,8.3,4.6,0.39,15.28,27
Houston Rockets,113.9,42.1,21.2,8.5,4.9,0.646,16.02,29.4
Atlanta Hawks,113.3,46.1,25.8,8.2,5.1,0.354,14.48,26.5
Minnesota Timberwolves,112.5,44.8,24.6,8.3,5,0.439,16.61,26.5
Boston Celtics,112.4,44.5,26.3,8.6,5.3,0.598,16.49,26.7
Brooklyn Nets,112.2,46.6,23.8,6.6,4.1,0.512,13.4,25.8
Los Angeles Lakers,111.8,46.6,25.6,7.5,5.4,0.451,14.245,26.5
Utah Jazz,111.7,44.7,24.5,6.1,4.7,0.61,14.74,27.5
San Antonio Spurs,111.7,46.4,26,8.1,5.9,0.585,15.48,28.7
Denver Nuggets,110.7,43.8,23.2,7.2,4.9,0.659,15.355,25.7
Charlotte Hornets,110.7,46.4,27.4,7.7,4.4,0.476,14.635,26.9
Dallas Mavericks,108.9,45.3,23.4,6.5,4.3,0.402,14.28,25.8
Indiana Pacers,108,43,26,8.7,4.9,0.585,15.03,28
Phoenix Suns,107.5,40.4,23.9,9,5.1,0.232,13.57,24.2
Orlando Magic,107.3,45.4,25.5,6.6,5.4,0.512,14.435,25.8
Detroit Pistons,107,45,22.5,6.9,4,0.5,14.28,26.6
Miami Heat,105.7,46.3,24.3,7.6,5.5,0.476,14.57,27.7
Chicago Bulls,104.9,42.9,21.9,7.4,4.3,0.268,16,24
New York Knicks,104.6,44.7,20.1,6.8,5.1,0.207,13.505,24.9
Cleveland Cavaliers,104.5,42.7,20.7,6.5,2.4,0.232,14.72,26.7
Memphis Grizzlies,103.5,41.8,23.9,8.3,5.5,0.402,15.33,27.7
